iter	Passed	Remaining
1470	85541	30762
1471	85613	30709
1472	85682	30654
1473	85750	30600
1474	85822	30546
1475	85880	30488
1476	85939	30430
1477	85998	30372
1478	86060	30316
1479	86119	30258
1480	86179	30200
1481	86234	30141
1482	86292	30083
1483	86350	30024
1484	86409	29966
1485	86463	29907
1486	86517	29847
1487	86586	29793
1488	86653	29738
1489	86707	29678
1490	86770	29621
1491	86826	29562
1492	86888	29505
1493	86950	29449
1494	87005	29389
1495	87066	29332
1496	87123	29274
1497	87181	29215
1498	87245	29159
1499	87306	29102
1500	87368	29045
1501	87427	28987
1502	87497	28932
1503	87555	28874
1504	87617	28817
1505	87685	28762
1506	87752	28707
1507	87814	28650
1508	87878	28593
1509	87941	28537
1510	88002	28480
1511	88073	28425
1512	88138	28369
1513	88203	28313
1514	88300	28267
1515	88365	28211
1516	88427	28154
1517	88480	28094
1518	88545	28038
1519	88607	27981
1520	88667	27923
1521	88730	27866
1522	88785	27807
1523	88844	27749
1524	88903	27691
1525	88959	27632
1526	89015	27573
1527	89077	27515
1528	89134	27457
1529	89190	27398
1530	89247	27339
1531	89303	27280
1532	89363	27222
1533	89421	27164
1534	89475	27104
1535	89533	27046
1536	89588	26987
1537	89645	26928
1538	89703	26870
1539	89757	26810
1540	89814	26751
1541	89873	26694
1542	89932	26635
1543	89991	26577
1544	90053	26520
1545	90113	26462
1546	90178	26406
1547	90237	26348
1548	90299	26291
1549	90361	26233
1550	90421	26176
1551	90476	26117
1552	90536	26059
1553	90591	25999
1554	90649	25941
1555	90715	25885
1556	90774	25827
1557	90836	25770
1558	90898	25712
1559	90952	25653
1560	91011	25595
1561	91092	25543
1562	91154	25485
1563	91218	25429
1564	91282	25372
1565	91337	25313
1566	91393	25254
1567	91452	25196
1568	91515	25138
1569	91572	25080
1570	91632	25022
1571	91687	24963
1572	91744	24904
1573	91800	24845
1574	91858	24787
1575	91908	24726
1576	91969	24668
1577	92026	24610
1578	92085	24552
1579	92145	24494
1580	92204	24436
1581	92264	24378
1582	92323	24320
1583	92381	24261
1584	92441	24203
1585	92502	24146
1586	92565	24089
1587	92624	24031
1588	92690	23974
1589	92750	23916
1590	92809	23858
1591	92867	23800
1592	92939	23745
1593	92999	23687
1594	93055	23628
1595	93106	23568
1596	93175	23512
1597	93240	23456
1598	93302	23398
1599	93362	23340
1600	93430	23284
1601	93487	23225
1602	93540	23166
1603	93597	23107
1604	93649	23047
1605	93704	22988
1606	93767	22931
1607	93829	22873
1608	93886	22815
1609	93943	22756
1610	94001	22698
1611	94059	22639
1612	94126	22583
1613	94197	22528
1614	94256	22469
1615	94316	22411
1616	94375	22353
